site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
da,509,247693,37983,37983,3,1,2021.08.25 13:35,2021.09.26,2,2,3288,561
da,1253,320034,35918,35918,2,1,2021.08.25 13:38,2021.09.06,2,2,2078,1029
da,311,88059,36115,36115,2,1,2021.08.25 13:38,2021.09.16,2,2,3775,1104
da,893,244078,36172,38080,1,1,2021.08.25 13:39,2021.09.16,2,2,3999,672
de,7690,320036,35070,35340,2,1,2021.08.25 13:40,2021.09.06,2,2,1876,1033
da,969,320037,37994,37994,3,1,2021.08.25 13:43,2021.09.01,3,2,2031,519
da,1805,1957,38084,38084,2,1,2021.08.25 13:43,2021.10.08,2,2,970,761
da,3070,320038,35506,37357,2,1,2021.08.25 13:45,2021.09.27,2,2,4993,561
da,1769,320039,37205,37962,2,1,2021.08.25 13:45,2021.09.15,2,2,544,1331
da,3894,277177,34064,38404,2,1,2021.08.25 13:45,2021.09.16,2,2,3539,519
da,415,42296,36330,37864,3,1,2021.08.25 13:49,2021.09.23,2,2,2385,519
se,6736,275711,30595,34996,2,1,2021.08.25 13:49,2021.09.11,2,2,2468,1037
se,4378,320040,38075,38247,2,1,2021.08.25 13:50,2021.09.09,2,2,3974,385
de,658,320041,35758,35758,2,1,2021.08.25 13:51,2021.09.23,2,2,3509,626
da,1200,318888,36195,36195,2,1,2021.08.25 13:57,2021.09.11,2,2,2589,1100
da,1045,36866,36280,36280,2,2,2021.08.25 13:57,2021.09.20,2,2,4024,903
da,301,239202,36117,38569,2,1,2021.08.25 14:01,2021.09.28,4,4,1881,561
se,2773,190313,36249,38235,2,1,2021.08.25 14:03,2021.09.09,6,6,4978,625
da,1688,320029,36327,36327,2,2,2021.08.25 14:09,2021.09.28,1,1,3635,1029
da,301,320044,36117,38569,2,1,2021.08.25 14:10,2021.09.31,2,2,3074,561
da,7516,159642,35263,37987,4,1,2021.08.25 14:12,2021.09.15,2,2,2899,761
se,1429,276886,36048,38206,2,2,2021.08.25 14:14,2021.09.09,2,2,1537,625
da,3762,4948,33954,37330,2,1,2021.08.25 14:15,2021.09.13,2,2,1041,1099
da,4124,320045,37063,37063,2,1,2021.08.25 14:16,2021.09.30,2,2,527,561
da,4766,320046,37912,37912,3,1,2021.08.25 14:16,2021.09.24,4,4,3695,319
da,5988,161505,35368,37255,2,1,2021.08.25 14:17,2021.09.29,3,3,579,519
da,3821,12852,36675,38018,2,1,2021.08.25 14:22,2021.09.07,2,2,2416,672
da,995,320048,36601,36601,2,1,2021.08.25 14:23,2021.09.12,2,2,1919,1331
da,1456,178258,36527,37298,3,1,2021.08.25 14:31,2021.09.09,2,2,2766,561
da,3467,12238,35508,37359,2,1,2021.08.25 14:31,2021.09.03,2,2,1647,672
da,1930,320049,35151,38485,2,1,2021.08.25 14:33,2021.09.16,2,2,2013,1029
se,6828,173947,35626,35885,2,1,2021.08.25 14:35,2021.09.10,4,4,2471,0
se,7516,319598,35263,37987,3,2,2021.08.25 14:35,2021.09.30,2,2,1029,625
da,8154,12238,38689,38689,2,1,2021.08.25 14:37,2021.09.07,2,2,1404,672
da,355,195522,37102,37102,2,1,2021.08.25 14:39,2021.09.22,2,2,3840,0
da,4101,40045,38728,38728,3,3,2021.08.25 14:40,2021.09.19,4,4,2896,561
se,3275,320050,35573,37401,4,1,2021.08.25 14:41,2021.09.05,2,2,2013,307
da,7270,320051,36932,37671,2,1,2021.08.25 14:45,2021.09.02,2,2,4046,561
de,7732,320053,35954,35954,4,1,2021.08.25 14:49,2021.09.04,2,2,3867,1033
se,4378,11339,38075,38247,2,1,2021.08.25 14:52,2021.09.26,4,4,3841,1086
da,4420,269534,37195,37198,2,1,2021.08.25 14:52,2021.09.28,2,2,4989,561
da,1109,320056,35798,36522,3,1,2021.08.25 14:53,2021.09.02,2,2,2544,519
da,1474,269534,38369,38541,2,1,2021.08.25 14:54,2021.09.30,2,2,1902,561
da,969,25219,37994,37994,2,1,2021.08.25 14:54,2021.09.29,2,2,3391,519
da,6140,9762,37415,37479,3,1,2021.08.25 14:55,2021.09.09,2,2,856,903
se,4049,11793,37758,38144,2,1,2021.08.25 14:56,2021.09.07,3,2,1442,906
da,830,320057,35903,38556,3,1,2021.08.25 14:58,2021.09.12,2,2,1922,519
da,1718,258925,36854,38678,3,1,2021.08.25 14:58,2021.09.19,2,2,583,519
no,4243,142347,35654,38396,3,1,2021.08.25 14:58,2021.09.03,2,2,2536,0
da,301,320058,36117,38569,2,1,2021.08.25 14:59,2021.09.28,2,2,2454,561
da,3467,142050,35508,37359,2,1,2021.08.25 14:59,2021.09.06,2,2,3344,561
se,846,320059,38713,38713,3,1,2021.08.25 15:01,2021.09.07,2,2,2999,0
da,3832,230283,37057,37057,4,1,2021.08.25 15:02,2021.09.27,2,2,1029,903
no,6729,142347,37555,38128,2,1,2021.08.25 15:07,2021.09.11,2,2,4043,0
da,3590,256761,37532,37714,2,1,2021.08.25 15:08,2021.09.11,2,2,3572,561
da,5437,195522,38349,38655,2,1,2021.08.25 15:09,2021.09.24,2,2,1310,0
da,830,256761,35903,38556,2,1,2021.08.25 15:10,2021.09.13,2,2,3689,561
da,4420,320062,37194,37197,2,1,2021.08.25 15:15,2021.09.28,2,2,1408,561
se,4560,228975,37902,38665,2,1,2021.08.25 15:15,2021.09.04,2,2,4047,904
se,2125,300399,36678,37032,2,1,2021.08.25 15:16,2021.09.23,2,2,572,0
da,2914,4948,38016,38044,4,1,2021.08.25 15:16,2021.09.09,2,2,2996,1099
se,650,253833,37656,38497,2,1,2021.08.25 15:19,2021.09.11,2,2,636,905
da,304,258925,38554,38680,3,1,2021.08.25 15:22,2021.09.22,2,2,4386,519
da,2639,144629,36112,36112,4,1,2021.08.25 15:25,2021.09.13,2,2,4890,561
de,4594,320063,35177,35177,2,1,2021.08.25 15:26,2021.09.04,2,2,1590,436
da,7730,320064,36083,37937,2,1,2021.08.25 15:26,2021.09.04,2,2,4198,519
se,6664,320065,38533,38536,2,1,2021.08.25 15:28,2021.09.20,2,2,4462,625
da,4148,229174,35297,38733,2,1,2021.08.25 15:32,2021.10.01,3,3,2577,672
se,2125,320066,36678,37032,2,1,2021.08.25 15:34,2021.09.23,2,2,4640,0
da,1822,33100,36556,37222,2,1,2021.08.25 15:37,2021.09.03,2,2,4503,901
da,505,273669,36029,36609,2,1,2021.08.25 15:37,2021.09.04,3,2,1404,1099
da,7511,320067,34287,37304,3,1,2021.08.25 15:37,2021.09.26,2,2,2335,0
se,4893,320069,38692,38692,3,1,2021.08.25 15:38,2021.09.07,3,2,2515,1037
se,4560,320070,37902,38665,2,1,2021.08.25 15:38,2021.09.06,2,2,1069,1113
da,304,233603,38554,38680,2,1,2021.08.25 15:39,2021.11.16,2,2,1312,903
se,2121,110875,37024,38643,2,1,2021.08.25 15:49,2021.09.24,2,2,3852,1037
da,1822,320075,36556,37222,2,1,2021.08.25 15:54,2021.09.30,2,2,3677,1029
da,314,160191,38612,38612,3,1,2021.08.25 15:57,2021.09.29,4,4,2390,0
da,645,320076,37390,37390,2,1,2021.08.25 15:57,2021.09.02,2,2,847,1100
de,5713,242491,38419,38419,4,1,2021.08.25 15:58,2021.09.04,2,2,756,910
se,3275,43542,35573,37401,2,1,2021.08.25 15:58,2021.09.22,2,2,4460,0
da,1374,38717,37641,37767,2,1,2021.08.25 16:00,2021.09.13,2,2,567,903
da,4067,320077,38010,38645,2,1,2021.08.25 16:00,2021.09.27,3,2,742,0
no,2954,320078,38034,38034,2,1,2021.08.25 16:01,2021.09.25,2,2,4822,1336
se,610,212104,38046,38170,3,1,2021.08.25 16:08,2021.09.11,2,2,3950,905
da,846,320079,36219,38060,2,1,2021.08.25 16:09,2021.09.10,2,2,2952,519
da,3712,320080,36520,37051,2,1,2021.08.25 16:10,2021.09.14,2,2,4125,1029
da,648,320081,37391,38679,2,1,2021.08.25 16:13,2021.09.16,2,2,1168,0
se,5747,230415,35808,35808,2,1,2021.08.25 16:13,2021.09.18,2,2,1826,0
da,893,54552,36172,38080,2,1,2021.08.25 16:26,2021.09.04,2,2,4235,0
da,314,320082,36842,38604,2,1,2021.08.25 16:28,2021.09.29,2,2,1751,902
no,8506,67291,38062,38062,3,1,2021.08.25 16:28,2021.09.05,2,2,3065,0
da,301,320083,36117,38569,4,1,2021.08.25 16:29,2021.09.09,2,2,3485,561
de,915,320084,36155,36155,3,1,2021.08.25 16:29,2021.09.04,3,2,4421,1033
de,658,82519,38027,38027,2,1,2021.08.25 16:33,2021.10.03,2,2,2009,815
da,5215,193505,37945,37945,2,2,2021.08.25 16:35,2021.09.04,2,2,2528,561
no,7763,320085,35868,35868,2,1,2021.08.25 16:35,2021.09.28,1,1,2094,0
se,6455,320086,37020,38173,2,1,2021.08.25 16:36,2021.09.13,2,2,2959,1114
se,3636,316799,38720,38720,2,1,2021.08.25 16:43,2021.09.03,2,2,869,625
se,6587,320087,37380,37380,2,1,2021.08.25 16:51,2021.09.28,2,2,3008,625
da,3061,320088,36798,37362,2,1,2021.08.25 16:56,2021.09.27,2,2,1817,1313
se,3950,147640,35788,38270,3,1,2021.08.25 17:01,2021.09.02,4,4,2614,625
da,5438,242193,36619,37322,2,1,2021.08.25 17:04,2021.09.13,2,2,2829,561
de,2150,320084,38430,38430,3,1,2021.08.25 17:06,2021.09.07,3,2,3099,1033
da,314,19848,38612,38612,3,1,2021.08.25 17:07,2021.09.10,2,2,3890,1029
se,4893,298840,35783,38422,3,1,2021.08.25 17:08,2021.09.10,2,2,3082,0
da,415,216313,36330,37864,3,1,2021.08.25 17:09,2021.09.31,4,4,888,1100
se,1377,73337,38716,38716,2,1,2021.08.25 17:11,2021.09.24,2,2,1061,625
da,595,204095,36137,37804,2,1,2021.08.25 17:11,2021.09.09,2,2,3243,1029
da,4148,233986,35297,38733,2,1,2021.08.25 17:12,2021.09.13,2,2,3991,1029
da,5215,320091,37945,37945,2,1,2021.08.25 17:13,2021.09.04,2,2,3867,519
da,415,143316,36330,37864,2,1,2021.08.25 17:15,2021.09.18,2,2,1913,1029
no,8506,320092,38062,38062,3,1,2021.08.25 17:15,2021.09.16,2,2,3964,1031
da,3070,91409,36729,37356,2,1,2021.08.25 17:20,2021.09.10,2,2,1977,0
da,1109,245848,35798,36522,4,1,2021.08.25 17:20,2021.09.02,2,2,3901,519
da,311,298257,36115,36115,2,1,2021.08.25 17:22,2021.09.03,2,2,4117,519
se,4893,268714,35783,38422,3,1,2021.08.25 17:22,2021.09.11,2,2,4370,625
da,1456,320093,36527,37298,2,1,2021.08.25 17:23,2021.09.04,3,2,4320,519
de,5441,320094,37836,37836,3,1,2021.08.25 17:24,2021.09.28,2,2,2263,1277
se,4170,12846,33855,33855,3,1,2021.08.25 17:25,2021.09.14,2,2,4873,0
se,8289,315689,37728,37728,2,1,2021.08.25 17:27,2021.09.11,2,2,1867,1037
de,4215,320095,36326,36326,3,1,2021.08.25 17:28,2021.09.27,2,2,2968,0
da,3588,320097,37668,37668,2,1,2021.08.25 17:33,2021.09.06,10,10,3617,519
da,843,320098,36139,37917,3,1,2021.08.25 17:34,2021.09.10,2,2,2649,1029
da,304,320099,38554,38680,2,1,2021.08.25 17:36,2021.09.08,2,2,2595,561
de,5713,320100,38419,38419,7,1,2021.08.25 17:37,2021.09.01,2,2,2336,436
da,527,9994,36066,37860,4,1,2021.08.25 17:37,2021.09.21,2,2,2776,0
se,4750,320101,37331,38227,2,1,2021.08.25 17:39,2021.09.15,2,2,3575,906
se,505,174730,38721,38721,2,1,2021.08.25 17:42,2021.09.04,4,4,1993,0
se,1377,280933,36205,37300,2,1,2021.08.25 17:43,2021.09.23,2,2,2706,1037
se,7540,300755,36411,36411,2,1,2021.08.25 17:43,2021.09.01,7,6,1454,1037
da,6648,320102,35028,37231,2,1,2021.08.25 17:45,2021.09.29,2,2,1050,561
da,4221,225484,36605,36605,4,1,2021.08.25 17:48,2021.09.07,2,2,3499,519
da,7730,320103,36083,37937,2,1,2021.08.25 17:51,2021.09.09,3,3,2679,1100
da,5713,282378,38701,38701,2,1,2021.08.25 17:52,2021.09.28,2,2,1457,1313
da,1140,241989,37494,37698,2,1,2021.08.25 17:55,2021.09.18,4,4,3789,901
da,4728,320104,34982,38334,3,1,2021.08.25 17:59,2021.09.22,2,2,2777,519
de,658,320105,38027,38027,2,1,2021.08.25 17:59,2021.10.07,2,2,1272,1033
da,893,320106,36172,38080,3,1,2021.08.25 18:06,2021.09.08,3,3,3808,0
da,3762,320107,33954,37330,4,1,2021.08.25 18:07,2021.09.13,2,2,4148,519
de,5441,320108,37836,37836,3,1,2021.08.25 18:09,2021.09.28,2,2,4162,1033
da,4067,69101,38010,38645,2,1,2021.08.25 18:09,2021.09.27,2,2,2457,519
de,5713,320109,38419,38419,2,1,2021.08.25 18:11,2021.10.22,5,5,4316,436
da,5582,257456,38526,38526,2,1,2021.08.25 18:16,2021.09.08,2,2,3419,519
